BATSMEN,,R,B,M,4s,6s,SR
Alex Obanda,lbw b Southee,6,19,27,0,0,31.58
Seren Waters,lbw b Bennett,16,42,49,1,0,38.10
Collins Obuya,lbw b Bennett,14,19,32,2,0,73.68
Steve Tikolo,b Bennett,2,2,4,0,0,100.00
Morris Ouma,lbw b Bennett,1,6,12,0,0,16.67
Rakep Patel,not out,16,23,46,1,0,69.57
Jimmy Kamande,c BB McCullum b Oram,2,16,19,0,0,12.50
Thomas Odoyo,c Ryder b Oram,2,6,6,0,0,33.33
Nehemiah Odhiambo,b Southee,0,6,6,0,0,0.00
Shem Ngoche,lbw b Southee,0,1,1,0,0,0.00
Elijah Otieno,c Styris b Oram,0,4,4,0,0,0.00
