BATSMEN,,R,B,M,4s,6s,SR
Geoff Marsh,st More b Maninder Singh,33,56,72,2,0,58.93
David Boon,c More b Shastri,62,59,85,7,0,105.08
Dean Jones,c Kapil Dev b Maninder Singh,36,55,64,0,0,65.45
Allan Border,c Prabhakar b Maninder Singh,12,24,22,0,0,50.00
Steve Waugh,c Sidhu b Kapil Dev,42,52,73,3,0,80.77
Tom Moody,run out,2,6,4,0,0,33.33
Simon O'Donnell,b Azharuddin,5,10,14,0,0,50.00
Greg Dyer,c Kapil Dev b Prabhakar,15,12,13,0,1,125.00
Craig McDermott,c & b Azharuddin,4,5,15,0,0,80.00
Andrew Zesers,not out,2,11,-,0,0,18.18
Bruce Reid,c Sidhu b Azharuddin,1,6,-,0,0,16.67
