BATSMEN,,R,B,M,4s,6s,SR
Chris Gayle,c Kallis b Botha,2,3,3,0,0,66.67
Devon Smith,c & b Imran Tahir,36,57,103,3,0,63.16
Darren Bravo,lbw b Botha,73,82,96,8,1,89.02
Ramnaresh Sarwan,lbw b Imran Tahir,2,10,15,0,0,20.00
Shivnarine Chanderpaul,c Peterson b Imran Tahir,31,51,73,1,1,60.78
Dwayne Bravo,run out (Morkel/de Villiers),40,37,46,1,3,108.11
Devon Thomas,c Duminy b Imran Tahir,15,26,29,1,0,57.69
Kieron Pollard,lbw b Steyn,0,1,6,0,0,0.00
Daren Sammy,lbw b Steyn,0,4,7,0,0,0.00
Sulieman Benn,c Morkel b Steyn,6,8,14,1,0,75.00
Kemar Roach,not out,2,6,12,0,0,33.33
