BATSMEN,,R,B,M,4s,6s,SR
Chris Gayle,lbw b Vaas,55,76,125,8,0,72.37
Wavell Hinds,c Jayasuriya b Vaas,2,8,11,0,0,25.00
Brian Lara,c Sangakkara b Vaas,1,22,23,0,0,4.55
Ramnaresh Sarwan,not out,47,44,68,4,2,106.82
Carl Hooper,lbw b Fernando,0,1,5,0,0,0.00
Shivnarine Chanderpaul,c Atapattu b de Silva,65,90,115,6,0,72.22
Ridley Jacobs,c Sangakkara b Vaas,0,3,3,0,0,0.00
Ricardo Powell,b Muralitharan,1,3,4,0,0,33.33
Vasbert Drakes,c Vaas b Jayasuriya,25,48,69,1,0,52.08
Mervyn Dillon,run out (Gunaratne),4,7,17,0,0,57.14
Pedro Collins,not out,1,1,3,0,0,100.00
