BATSMEN,,R,B,M,4s,6s,SR
Luuk van Troost,lbw b Anderson,8,31,43,1,0,25.81
Daan van Bunge,c White b Anderson,4,19,24,1,0,21.05
Nick Statham,lbw b Flintoff,7,35,54,0,0,20.00
Bas Zuiderent,c Hussain b Anderson,2,16,25,0,0,12.50
Klaas-Jan van Noortwijk,c Stewart b Anderson,0,2,4,0,0,0.00
Tim de Leede,not out,58,96,133,6,0,60.42
Feiko Kloppenburg,c Knight b Blackwell,10,30,43,1,0,33.33
Edgar Schiferli,st Stewart b Blackwell,12,16,16,2,0,75.00
Roland Lefebvre,b White,6,14,17,1,0,42.86
Adeel Raja,lbw b White,2,5,6,0,0,40.00
Jeroen Smits,not out,17,38,44,2,0,44.74
