BATSMEN,,R,B,M,4s,6s,SR
Bandula Warnapura,c & b McKechnie,20,58,-,2,0,34.48
Sunil Wettimuny,b Cairns,16,20,-,1,0,80.00
Anura Tennekoon,b Stott,59,96,-,6,0,61.46
Roy Dias,c & b Stott,25,46,-,2,0,54.35
Duleep Mendis,c Turner b Troup,14,27,-,2,0,51.85
Somachandra De Silva,c Burgess b Stott,6,24,-,0,0,25.00
Sunil Jayasinghe,run out,1,3,-,0,0,33.33
Sudath Pasqual,b Hadlee,1,2,-,0,0,50.00
Tony Opatha,b McKechnie,18,27,-,2,0,66.67
Stanley De Silva,c Wright b McKechnie,10,35,-,0,0,28.57
Ajit de Silva,not out,2,11,-,0,0,18.18
