BATSMEN,,R,B,M,4s,6s,SR
Gary Kirsten,c AR Whittall b Johnson,0,1,1,0,0,0.00
Herschelle Gibbs,run out (Huckle/A Flower),9,21,31,0,0,42.86
Mark Boucher,lbw b Streak,8,23,34,1,0,34.78
Jacques Kallis,c A Flower b Johnson,0,4,9,0,0,0.00
Daryll Cullinan,c & b AR Whittall,29,67,87,3,0,43.28
Hansie Cronje,b Johnson,4,6,8,1,0,66.67
Jonty Rhodes,lbw b Streak,5,5,7,1,0,100.00
Shaun Pollock,c Olonga b AR Whittall,52,81,114,4,0,64.20
Lance Klusener,not out,52,58,76,3,2,89.66
Steve Elworthy,c AR Whittall b Streak,1,6,5,0,0,16.67
Allan Donald,c Streak b Olonga,7,18,22,0,0,38.89
