BATSMEN,,R,B,M,4s,6s,SR
Ishwar Maraj,c Hooper b Collins,16,34,58,2,0,47.06
John Davison,c Drakes b Hinds,111,76,98,8,6,146.05
Desmond Chumney,c Gayle b Hinds,19,25,36,1,1,76.00
Ian Billcliff,c Jacobs b Drakes,16,33,41,2,0,48.48
Nicholas Ifill,c Jacobs b Drakes,9,28,18,1,0,32.14
Joe Harris,c Hooper b Drakes,6,23,33,0,0,26.09
Nicholas de Groot,run out (Hinds/Jacobs),11,32,35,1,0,34.38
Ashish Bagai,run out (Powell),2,9,12,0,0,22.22
Austin Codrington,c Jacobs b Drakes,0,1,3,0,0,0.00
Barry Seebaran,lbw b Drakes,0,1,1,0,0,0.00
Davis Joseph,not out,0,1,3,0,0,0.00
