BATSMEN,,R,B,M,4s,6s,SR
Javed Ahmadi,lbw b Boult,1,7,6,0,0,14.29
Usman Ghani,b Vettori,0,3,12,0,0,0.00
Nawroz Mangal,b Vettori,27,46,58,3,0,58.70
Asghar Afghan,c Guptill b Boult,9,18,24,2,0,50.00
Samiullah Shinwari,c Taylor b Anderson,54,110,172,5,1,49.09
Mohammad Nabi,c Taylor b Vettori,6,15,20,0,0,40.00
Afsar Zazai,lbw b Vettori,0,1,1,0,0,0.00
Najibullah Zadran,c Vettori b Milne,56,56,86,8,2,100.00
Dawlat Zadran,c Ronchi b Boult,1,5,14,0,0,20.00
Hamid Hassan,c Milne b Anderson,16,21,30,4,0,76.19
Shapoor Zadran,not out,2,4,10,0,0,50.00
