BATSMEN,,R,B,M,4s,6s,SR
Ruvindu Gunasekera,c Dilshan b Kulasekara,1,10,12,0,0,10.00
John Davison,b Perera,0,1,4,0,0,0.00
Zubin Surkari,lbw b Perera,6,10,12,0,0,60.00
Jimmy Hansra,st Sangakkara b Samaraweera,9,49,46,0,0,18.37
Ashish Bagai,c Sangakkara b Perera,22,47,58,2,0,46.81
Rizwan Cheema,c Jayawardene b Muralitharan,37,35,65,4,2,105.71
Tyson Gordon,c Sangakkara b Kulasekara,4,10,16,0,0,40.00
Khurram Chohan,c Sangakkara b Kulasekara,4,8,11,1,0,50.00
Harvir Baidwan,not out,16,35,43,1,0,45.71
Balaji Rao,c Tharanga b Muralitharan,6,7,7,1,0,85.71
Henry Osinde,b Mendis,4,10,14,0,0,40.00
