BATSMEN,,R,B,M,4s,6s,SR
Adam Gilchrist,lbw b Bond,18,20,24,2,0,90.00
Matthew Hayden,c McCullum b Bond,1,4,11,0,0,25.00
Ricky Ponting,c Fleming b Bond,6,20,28,0,0,30.00
Damien Martyn,c McCullum b Bond,31,53,83,3,0,58.49
Darren Lehmann,c Astle b Adams,4,9,18,1,0,44.44
Michael Bevan,c Vincent b Oram,56,94,141,4,1,59.57
Brad Hogg,lbw b Bond,0,1,2,0,0,0.00
Ian Harvey,b Bond,2,11,9,0,0,18.18
Andy Bichel,c Cairns b Oram,64,83,86,7,1,77.11
Brett Lee,not out,15,6,11,0,2,250.00
Glenn McGrath,not out,3,2,4,0,0,150.00
