BATSMEN,,R,B,M,4s,6s,SR
Daniel Vettori,c Gilchrist b McGrath,10,9,10,1,0,111.11
Stephen Fleming,c Gilchrist b Lee,48,70,116,7,0,68.57
Nathan Astle,c Ponting b McGrath,0,3,3,0,0,0.00
Scott Styris,lbw b McGrath,3,6,15,0,0,50.00
Chris Cairns,c Lee b Bichel,16,25,35,2,1,64.00
Lou Vincent,c Martyn b Harvey,7,20,26,1,0,35.00
Chris Harris,not out,15,24,53,0,0,62.50
Brendon McCullum,lbw b Lee,1,7,10,0,0,14.29
Jacob Oram,b Lee,0,1,2,0,0,0.00
Andre Adams,b Lee,0,6,6,0,0,0.00
Shane Bond,c & b Lee,3,10,10,0,0,30.00
