BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Chaminda Vaas,10,1,34,3,3.40,42,2,0,1,1
Pulasthi Gunaratne,8,0,60,0,7.50,23,7,2,1,0
Aravinda de Silva,10,0,36,2,3.60,36,1,1,1,0
Muttiah Muralitharan,10,0,29,0,2.90,33,0,0,0,0
Sanath Jayasuriya,10,0,42,2,4.20,27,2,0,0,0
Russel Arnold,2,0,8,0,4.00,7,1,0,0,0
