BATSMEN,,R,B,M,4s,6s,SR
Gary Kirsten,b Warne,18,42,59,1,0,42.86
Herschelle Gibbs,b Warne,30,36,51,6,0,83.33
Daryll Cullinan,run out (Bevan),6,30,39,0,0,20.00
Hansie Cronje,c ME Waugh b Warne,0,2,2,0,0,0.00
Jacques Kallis,c SR Waugh b Warne,53,92,119,3,0,57.61
Jonty Rhodes,c Bevan b Reiffel,43,55,70,2,1,78.18
Shaun Pollock,b Fleming,20,14,27,1,1,142.86
Lance Klusener,not out,31,16,32,4,1,193.75
Mark Boucher,b McGrath,5,10,13,0,0,50.00
Steve Elworthy,run out (Reiffel/McGrath),1,1,3,0,0,100.00
Allan Donald,run out (ME Waugh/Fleming/Gilchrist),0,0,7,0,0,0.00
