BATSMEN,,R,B,M,4s,6s,SR
Adam Gilchrist,c Donald b Kallis,20,39,70,1,1,51.28
Mark Waugh,c Boucher b Pollock,0,4,3,0,0,0.00
Ricky Ponting,c Kirsten b Donald,37,48,49,3,1,77.08
Darren Lehmann,c Boucher b Donald,1,4,4,0,0,25.00
Steve Waugh,c Boucher b Pollock,56,76,108,6,1,73.68
Michael Bevan,c Boucher b Pollock,65,101,151,6,0,64.36
Tom Moody,lbw b Pollock,0,3,2,0,0,0.00
Shane Warne,c Cronje b Pollock,18,24,36,1,0,75.00
Paul Reiffel,b Donald,0,1,2,0,0,0.00
Damien Fleming,b Donald,0,2,2,0,0,0.00
Glenn McGrath,not out,0,1,4,0,0,0.00
