BATSMEN,,R,B,M,4s,6s,SR
Ranjit Fernando,c & b Javed Miandad,21,42,-,3,0,50.00
Bandula Warnapura,b Imran Khan,2,15,-,0,0,13.33
Anura Tennekoon,lbw b Naseer Malik,30,36,-,4,0,83.33
Michael Tissera,c Wasim Bari b Sadiq Mohammad,12,40,-,2,0,30.00
David Heyn,c Zaheer Abbas b Javed Miandad,1,8,-,0,0,12.50
Anura Ranasinghe,b Wasim Raja,9,23,-,0,0,39.13
Mevan Pieris,lbw b Pervez Mir,16,44,-,2,0,36.36
Tony Opatha,c Zaheer Abbas b Sadiq Mohammad,0,10,-,0,0,0.00
Somachandra De Silva,b Imran Khan,26,59,-,4,0,44.07
Lalith Kaluperuma,not out,13,27,-,1,0,48.15
Ajit de Silva,c Wasim Raja b Imran Khan,0,12,-,0,0,0.00
