BATSMEN,,R,B,M,4s,6s,SR
Upul Tharanga,c Gilchrist b Bracken,6,8,11,1,0,75.00
Sanath Jayasuriya,b Clarke,63,67,108,9,0,94.03
Kumar Sangakkara,c Ponting b Hogg,54,52,72,6,1,103.85
Mahela Jayawardene,lbw b Watson,19,19,31,1,0,100.00
Chamara Silva,b Clarke,21,22,41,1,1,95.45
Tillakaratne Dilshan,run out (Clarke/McGrath),14,13,20,2,0,107.69
Russel Arnold,c Gilchrist b McGrath,1,2,9,0,0,50.00
Chaminda Vaas,not out,11,21,20,0,0,52.38
Lasith Malinga,st Gilchrist b Symonds,10,6,6,0,1,166.67
Dilhara Fernando,not out,1,6,6,0,0,16.67
