BATSMEN,,R,B,M,4s,6s,SR
Amjad Ali,b Rahat Ali,14,30,29,2,0,46.67
Andri Berenger,c Umar Akmal b Sohail Khan,2,13,34,0,0,15.38
Krishna Chandran,c Umar Akmal b Sohail Khan,0,11,18,0,0,0.00
Khurram Khan,c Wahab Riaz b Sohaib Maqsood,43,54,85,3,1,79.63
Shaiman Anwar,c Nasir Jamshed b Shahid Afridi,62,88,104,4,2,70.45
Swapnil Patil,b Wahab Riaz,36,68,84,2,0,52.94
Rohan Mustafa,c Ahmed Shehzad b Shahid Afridi,0,2,2,0,0,0.00
Amjad Javed,c Sohail Khan b Wahab Riaz,40,33,48,5,2,121.21
Mohammad Naveed,not out,0,0,4,0,0,0.00
Mohammad Tauqir,not out,0,1,1,0,0,0.00
