BATSMEN,,R,B,M,4s,6s,SR
Craig Spearman,c Healy b Reiffel,12,12,16,3,0,100.00
Nathan Astle,c Healy b DW Fleming,1,6,10,0,0,16.67
Lee Germon,c DW Fleming b McGrath,89,96,149,9,1,92.71
Stephen Fleming,c SR Waugh b McGrath,8,18,18,0,0,44.44
Chris Harris,c Reiffel b Warne,130,124,162,13,4,104.84
Roger Twose,b Bevan,4,12,14,0,0,33.33
Chris Cairns,c Reiffel b ME Waugh,4,9,6,0,0,44.44
Adam Parore,lbw b Warne,11,13,16,0,0,84.62
Shane Thomson,run out,11,10,13,1,0,110.00
Dipak Patel,not out,3,4,3,0,0,75.00
