BATSMEN,,R,B,M,4s,6s,SR
Graeme Smith,b Bracken,2,5,10,0,0,40.00
AB de Villiers,c Gilchrist b Tait,15,34,39,3,0,44.12
Jacques Kallis,b McGrath,5,9,12,1,0,55.56
Herschelle Gibbs,c Gilchrist b Tait,39,49,77,6,0,79.59
Ashwell Prince,c Gilchrist b McGrath,0,2,4,0,0,0.00
Mark Boucher,c Hayden b McGrath,0,1,1,0,0,0.00
Justin Kemp,not out,49,91,151,4,1,53.85
Andrew Hall,c Gilchrist b Tait,3,8,14,0,0,37.50
Shaun Pollock,c & b Hogg,5,13,15,1,0,38.46
Andre Nel,c Clarke b Tait,8,41,45,1,0,19.51
Charl Langeveldt,b Watson,6,10,18,1,0,60.00
