BATSMEN,,R,B,M,4s,6s,SR
Lahiru Thirimanne,lbw b Henry,4,2,4,1,0,200.00
Dimuth Karunaratne,not out,52,84,146,4,0,61.90
Kusal Perera,c de Grandhomme b Henry,29,24,34,4,0,120.83
Kusal Mendis,c Guptill b Henry,0,1,3,0,0,0.00
Dhananjaya de Silva,lbw b Ferguson,4,13,15,1,0,30.77
Angelo Mathews,c Latham b de Grandhomme,0,9,14,0,0,0.00
Jeevan Mendis,c Neesham b Ferguson,1,4,5,0,0,25.00
Thisara Perera,c Boult b Santner,27,23,35,0,2,117.39
Isuru Udana,c Henry b Neesham,0,3,5,0,0,0.00
Suranga Lakmal,c Santner b Boult,7,13,19,1,0,53.85
Lasith Malinga,b Ferguson,1,2,9,0,0,50.00
