BATSMEN,,R,B,M,4s,6s,SR
Sir Andrew Strauss,c Junaid Siddique b Naeem Islam,18,31,48,2,0,58.06
Matt Prior,st Mushfiqur Rahim b Abdur Razzak,15,20,35,2,0,75.00
Jonathan Trott,c Junaid Siddique b Shakib Al Hasan,67,99,138,2,0,67.68
Ian Bell,c Naeem Islam b Mahmudullah,5,23,19,0,0,21.74
Eoin Morgan,c Imrul Kayes b Naeem Islam,63,72,84,8,0,87.50
Ravi Bopara,c Naeem Islam b Abdur Razzak,16,22,22,1,0,72.73
Graeme Swann,c & b Shakib Al Hasan,12,8,12,2,0,150.00
Paul Collingwood,run out (Mahmudullah),14,13,29,0,0,107.69
Tim Bresnan,c Shafiul Islam b Rubel Hossain,2,2,2,0,0,100.00
Ajmal Shahzad,b Shafiul Islam,1,3,2,0,0,33.33
James Anderson,not out,2,5,9,0,0,40.00
