BATSMEN,,R,B,M,4s,6s,SR
Morris Ouma,c Baidwan b Osinde,0,2,2,0,0,0.00
Seren Waters,b Osinde,2,13,22,0,0,15.38
Collins Obuya,b Baidwan,31,35,53,3,1,88.57
David Obuya,c Bagai b Osinde,2,8,11,0,0,25.00
Steve Tikolo,lbw b Rizwan Cheema,12,20,39,1,0,60.00
Tanmay Mishra,c Surkari b Davison,51,73,120,3,0,69.86
Jimmy Kamande,c Bagai b Balaji Rao,22,58,49,3,0,37.93
Thomas Odoyo,b Baidwan,51,62,86,5,1,82.26
Nehemiah Odhiambo,b Osinde,4,9,8,0,0,44.44
Elijah Otieno,c Hansra b Rizwan Cheema,8,17,20,1,0,47.06
James Ngoche,not out,1,3,6,0,0,33.33
