BATSMEN,,R,B,M,4s,6s,SR
Dennis Amiss,lbw b Gilmour,2,7,11,0,0,28.57
Barry Wood,b Gilmour,6,19,29,1,0,31.58
Keith Fletcher,lbw b Gilmour,8,45,59,0,0,17.78
Tony Greig,c Marsh b Gilmour,7,25,24,1,0,28.00
Frank Hayes,lbw b Gilmour,4,6,9,1,0,66.67
Mike Denness,b Walker,27,60,70,1,0,45.00
Alan Knott,lbw b Gilmour,0,5,3,0,0,0.00
Chris Old,c GS Chappell b Walker,0,3,4,0,0,0.00
John Snow,c Marsh b Lillee,2,14,22,0,0,14.29
Geoff Arnold,not out,18,30,47,2,0,60.00
Peter Lever,lbw b Walker,5,13,15,0,0,38.46
