BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Rashid Khan,7,2,19,1,2.71,-,-,-,0,0
Sarfraz Nawaz,11,5,22,0,2.00,-,-,-,0,0
Wasim Raja,3,0,14,0,4.67,-,-,-,0,0
Mudassar Nazar,8,0,30,0,3.75,-,-,-,0,0
Abdul Qadir,9.4,0,53,0,5.48,-,-,-,0,0
Mansoor Akhtar,12,2,44,1,3.67,-,-,-,0,0
