BATSMEN,,R,B,M,4s,6s,SR
Ramiz Raja,run out,1,1,2,0,0,100.00
Mansoor Akhtar,b McDermott,9,19,36,0,0,47.37
Saleem Malik,c McDermott b Waugh,25,31,43,3,0,80.65
Javed Miandad,b Reid,70,103,149,4,0,67.96
Imran Khan,c Dyer b Border,58,84,98,4,0,69.05
Wasim Akram,b McDermott,20,13,16,0,2,153.85
Ijaz Ahmed,c Jones b Reid,8,7,11,1,0,114.29
Saleem Yousuf,c Dyer b McDermott,21,15,23,2,0,140.00
Abdul Qadir,not out,20,16,23,2,0,125.00
Saleem Jaffar,c Dyer b McDermott,0,2,7,0,0,0.00
Tauseef Ahmed,c Dyer b McDermott,1,3,3,0,0,33.33
