BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Sir Curtly Ambrose,10,1,36,1,3.60,42,2,1,0,1
Courtney Walsh,10,3,28,3,2.80,46,3,0,0,1
Mervyn Dillon,10,1,29,3,2.90,47,2,0,10,0
Phil Simmons,10,0,40,1,4.00,35,3,0,4,0
Keith Arthurton,1,0,10,0,10.00,1,1,0,0,0
Jimmy Adams,8,0,57,0,7.13,14,2,2,3,0
Ricardo Powell,1,0,16,0,16.00,0,1,1,1,0
