BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,c Morgan b Wood,19,29,53,1,0,65.52
Soumya Sarkar,b Archer,2,8,14,0,0,25.00
Shakib Al Hasan,b Stokes,121,119,147,12,1,101.68
Mushfiqur Rahim,c Roy b Plunkett,44,50,65,2,0,88.00
Mohammad Mithun,c Bairstow b Rashid,0,2,4,0,0,0.00
Mahmudullah,c Bairstow b Wood,28,41,66,1,1,68.29
Mosaddek Hossain,c Archer b Stokes,26,16,16,4,0,162.50
Mohammad Saifuddin,b Stokes,5,8,13,0,0,62.50
Mehidy Hasan,c Bairstow b Archer,12,8,16,2,0,150.00
Mashrafe Mortaza,not out,4,9,14,0,0,44.44
Mustafizur Rahman,c Bairstow b Archer,0,3,4,0,0,0.00
