BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Shafiul Islam,7,0,69,1,9.86,15,8,1,2,1
Rubel Hossain,10,0,60,0,6.00,22,4,0,5,0
Abdur Razzak,9,0,74,0,8.22,20,6,3,1,0
Shakib Al Hasan,10,0,61,1,6.10,23,4,1,3,0
Naeem Islam,7,0,54,0,7.71,8,4,1,0,0
Mahmudullah,7,0,49,1,7.00,15,3,1,3,0
