BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Geoff Allott,9,0,41,0,4.56,33,5,0,1,1
Dion Nash,5,0,34,0,6.80,19,5,0,2,2
Gavin Larsen,10,0,40,0,4.00,34,3,0,0,1
Chris Cairns,8,0,33,1,4.13,31,2,0,0,3
Chris Harris,6,0,31,0,5.17,18,2,1,0,0
Nathan Astle,7.3,0,41,0,5.47,24,3,1,1,0
Craig McMillan,2,0,19,0,9.50,6,3,0,1,0
