BATSMEN,,R,B,M,4s,6s,SR
Alex Obanda,lbw b Price,23,36,51,4,0,63.89
David Obuya,lbw b Mpofu,0,2,4,0,0,0.00
Collins Obuya,run out (Sibanda),1,6,12,0,0,16.67
Steve Tikolo,lbw b Price,10,14,16,2,0,71.43
Tanmay Mishra,c Cremer b Utseya,4,9,11,1,0,44.44
Thomas Odoyo,lbw b Lamb,14,29,35,2,0,48.28
Rakep Patel,c Chakabva b Lamb,24,37,50,3,0,64.86
Nehemiah Odhiambo,not out,44,47,67,5,0,93.62
Peter Ongondo,lbw b Cremer,6,2,2,0,1,300.00
Elijah Otieno,run out (Chigumbura),5,13,24,0,0,38.46
James Ngoche,c Mpofu b Cremer,9,21,19,0,1,42.86
