BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Shaun Pollock,9.2,1,36,5,3.86,39,4,0,0,0
Steve Elworthy,10,0,59,0,5.90,32,5,2,1,2
Jacques Kallis,10,2,27,1,2.70,46,2,0,1,1
Allan Donald,10,1,32,4,3.20,39,2,0,1,0
Lance Klusener,9,1,50,0,5.56,28,4,1,0,3
Hansie Cronje,1,0,2,0,2.00,4,0,0,0,0
