BATSMEN,,R,B,M,4s,6s,SR
Gary Kirsten,b Vaas,14,14,17,3,0,100.00
Herschelle Gibbs,c Kaluwitharana b Vaas,5,15,29,1,0,33.33
Mark Boucher,b Wickramasinghe,1,10,16,0,0,10.00
Jacques Kallis,c Mahanama b Wickramasinghe,12,26,42,0,0,46.15
Daryll Cullinan,c Vaas b Muralitharan,49,82,117,4,0,59.76
Hansie Cronje,run out (Jayawardene/Kaluwitharana),8,21,27,0,0,38.10
Jonty Rhodes,c Jayasuriya b Muralitharan,17,25,23,2,0,68.00
Shaun Pollock,c & b Muralitharan,2,9,15,0,0,22.22
Lance Klusener,not out,52,45,69,5,2,115.56
Steve Elworthy,c Kaluwitharana b Vaas,23,40,40,3,0,57.50
Allan Donald,not out,3,16,17,0,0,18.75
