BATSMEN,,R,B,M,4s,6s,SR
Sanath Jayasuriya,b Kallis,5,14,19,0,0,35.71
Romesh Kaluwitharana,c Cullinan b Kallis,5,10,16,1,0,50.00
Marvan Atapattu,c Boucher b Kallis,1,10,10,0,0,10.00
Aravinda de Silva,lbw b Pollock,1,8,13,0,0,12.50
Roshan Mahanama,lbw b Pollock,36,71,128,3,0,50.70
Arjuna Ranatunga,c Boucher b Donald,7,19,29,1,0,36.84
Mahela Jayawardene,c Kallis b Elworthy,22,32,37,4,0,68.75
Upul Chandana,c Cullinan b Klusener,9,22,23,1,0,40.91
Chaminda Vaas,c Pollock b Klusener,1,10,13,0,0,10.00
Pramodya Wickramasinghe,b Klusener,6,17,18,0,0,35.29
Muttiah Muralitharan,not out,0,0,1,0,0,0.00
