BATSMEN,,R,B,M,4s,6s,SR
Hazratullah Zazai,c Munro b Neesham,34,28,48,5,1,121.43
Noor Ali Zadran,c Latham b Ferguson,31,38,52,5,0,81.58
Rahmat Shah,c Guptill b Neesham,0,4,10,0,0,0.00
Hashmatullah Shahidi,c Henry b Ferguson,59,99,143,9,0,59.60
Gulbadin Naib,c Latham b Neesham,4,4,9,1,0,100.00
Mohammad Nabi,c Latham b Neesham,9,24,42,0,0,37.50
Najibullah Zadran,c Latham b Neesham,4,3,2,1,0,133.33
Ikram Alikhil,c Guptill b de Grandhomme,2,22,34,0,0,9.09
Rashid Khan,b Ferguson,0,4,7,0,0,0.00
Aftab Alam,c Latham b Ferguson,14,10,10,3,0,140.00
Hamid Hassan,not out,7,11,26,1,0,63.64
