BATSMEN,,R,B,M,4s,6s,SR
Roshan Mahanama,c Arthurton b Cummins,11,50,87,0,0,22.00
Athula Samarasekera,lbw b Hooper,40,41,48,4,1,97.56
Chandika Hathurusingha,run out,16,25,35,0,0,64.00
Aravinda de Silva,c & b Hooper,11,19,26,0,0,57.89
Arjuna Ranatunga,c Benjamin b Arthurton,24,40,60,0,1,60.00
Asanka Gurusinha,c Richardson b Ambrose,10,30,28,0,0,33.33
Hashan Tillakaratne,b Ambrose,3,9,4,0,0,33.33
Ruwan Kalpage,not out,13,40,51,0,0,32.50
Champaka Ramanayake,b Arthurton,1,13,8,0,0,7.69
Don Anurasiri,b Benjamin,3,11,12,0,0,27.27
Pramodya Wickramasinghe,not out,21,21,22,1,0,100.00
