BATSMEN,,R,B,M,4s,6s,SR
Desmond Haynes,c Tillakaratne b Ranatunga,38,47,78,3,1,80.85
Brian Lara,c & b Ramanayake,1,6,8,0,0,16.67
Phil Simmons,c Wickramasinghe b Hathurusingha,110,125,153,8,2,88.00
Sir Richie Richardson,run out,8,23,25,0,0,34.78
Keith Arthurton,c Tillakaratne b Hathurusingha,40,54,84,1,0,74.07
Gus Logie,b Anurasiri,0,2,3,0,0,0.00
Carl Hooper,c Gurusinha b Hathurusingha,12,12,12,1,0,100.00
David Williams,c Tillakaratne b Hathurusingha,2,3,3,0,0,66.67
Sir Curtly Ambrose,not out,15,14,24,0,1,107.14
Winston Benjamin,not out,24,20,18,1,0,120.00
