BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,b Johnston,29,59,96,4,0,49.15
Shahriar Nafees,c O'Brien b Rankin,7,18,29,1,0,38.89
Aftab Ahmed,c O'Brien b Botha,12,9,20,1,1,133.33
Shakib Al Hasan,run out (Botha),3,8,12,0,0,37.50
Mohammad Ashraful,c Langford-Smith b Rankin,35,36,43,5,1,97.22
Habibul Bashar,b Johnston,32,57,92,2,0,56.14
Mushfiqur Rahim,b McCallan,16,26,31,2,0,61.54
Mashrafe Mortaza,c & b Langford-Smith,0,3,5,0,0,0.00
Mohammad Rafique,c Johnston b Langford-Smith,2,9,9,0,0,22.22
Abdur Razzak,b McCallan,11,21,29,0,0,52.38
Shahadat Hossain,not out,0,2,3,0,0,0.00
