BATSMEN,,R,B,M,4s,6s,SR
Chris Gayle,b Milne,61,33,77,2,8,184.85
Johnson Charles,b Boult,3,6,5,0,0,50.00
Lendl Simmons,c Guptill b Boult,12,17,18,1,1,70.59
Marlon Samuels,c Vettori b Boult,27,15,17,3,1,180.00
Denesh Ramdin,lbw b Boult,0,4,2,0,0,0.00
Jonathan Carter,b Vettori,32,39,58,4,1,82.05
Daren Sammy,c Ronchi b Anderson,27,16,21,3,1,168.75
Andre Russell,b Southee,20,11,16,1,2,181.82
Jason Holder,c Anderson b Vettori,42,26,33,5,2,161.54
Jerome Taylor,c Guptill b Southee,11,12,8,2,0,91.67
Sulieman Benn,not out,9,4,13,2,0,225.00
