BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Mitchell Starc,10,1,40,2,4.00,38,3,0,2,0
Josh Hazlewood,10,1,35,4,3.50,41,4,0,1,0
Mitchell Johnson,10,0,42,1,4.20,38,2,1,2,0
Glenn Maxwell,7,0,43,2,6.14,21,3,2,0,0
Shane Watson,5,0,17,0,3.40,17,1,0,0,0
James Faulkner,7.5,0,31,1,3.96,29,2,0,0,0
