BATSMEN,,R,B,M,4s,6s,SR
Sir Andrew Strauss,c Smith b Collymore,7,12,10,1,0,58.33
Michael Vaughan,run out (Bravo),79,68,116,6,2,116.18
Ravi Bopara,run out (Bravo),26,43,60,3,0,60.47
Kevin Pietersen,b Taylor,100,91,144,10,1,109.89
Paul Collingwood,b Bravo,6,11,11,1,0,54.55
Andrew Flintoff,c Powell b Sarwan,15,20,23,2,0,75.00
Jamie Dalrymple,run out (Smith),1,6,6,0,0,16.67
Paul Nixon,b Bravo,38,39,83,4,0,97.44
Liam Plunkett,c Bravo b Taylor,2,3,4,0,0,66.67
Stuart Broad,not out,5,5,24,0,0,100.00
James Anderson,not out,0,1,7,0,0,0.00
