BATSMEN,,R,B,M,4s,6s,SR
Chris Gayle,c Broad b Flintoff,79,58,105,10,3,136.21
Devon Smith,c Collingwood b Flintoff,61,106,135,6,0,57.55
Brian Lara,run out (Pietersen),18,17,39,3,0,105.88
Marlon Samuels,c Collingwood b Vaughan,51,39,59,6,1,130.77
Ramnaresh Sarwan,c Nixon b Plunkett,3,8,11,0,0,37.50
Shivnarine Chanderpaul,c Plunkett b Collingwood,34,39,52,5,0,87.18
Dwayne Bravo,c Dalrymple b Vaughan,13,11,16,1,0,118.18
Denesh Ramdin,not out,10,11,20,1,0,90.91
Jerome Taylor,c Dalrymple b Vaughan,12,10,9,1,0,120.00
Daren Powell,run out (Flintoff),0,1,4,0,0,0.00
Corey Collymore,run out (Flintoff),1,2,3,0,0,50.00
