BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,c van Wyk b Tsotsobe,5,14,13,1,0,35.71
Imrul Kayes,b Tsotsobe,4,15,22,1,0,26.67
Junaid Siddique,lbw b Botha,2,7,14,0,0,28.57
Shahriar Nafees,b Tsotsobe,5,12,12,1,0,41.67
Mushfiqur Rahim,c Smith b Peterson,3,21,34,0,0,14.29
Shakib Al Hasan,c van Wyk b Peterson,30,49,63,4,0,61.22
Mahmudullah,run out (Botha/van Wyk),5,17,26,0,0,29.41
Naeem Islam,b Peterson,8,20,24,1,0,40.00
Shafiul Islam,b Peterson,0,2,1,0,0,0.00
Abdur Razzak,c Peterson b Imran Tahir,0,2,3,0,0,0.00
Rubel Hossain,not out,8,9,10,2,0,88.89
