BATSMEN,,R,B,M,4s,6s,SR
Hashim Amla,b Abdur Razzak,51,59,93,6,0,86.44
Graeme Smith,st Mushfiqur Rahim b Mahmudullah,45,68,86,4,0,66.18
Jacques Kallis,c & b Shakib Al Hasan,69,76,88,5,1,90.79
Jean-Paul Duminy,c Mushfiqur Rahim b Rubel Hossain,17,22,26,1,0,77.27
Faf du Plessis,c Tamim Iqbal b Rubel Hossain,52,52,73,4,1,100.00
Morne van Wyk,b Shakib Al Hasan,5,5,13,0,0,100.00
Johan Botha,run out (Rubel Hossain),12,6,15,2,0,200.00
Robin Peterson,not out,22,9,15,4,0,244.44
Wayne Parnell,b Rubel Hossain,0,1,2,0,0,0.00
Lonwabo Tsotsobe,not out,4,2,2,1,0,200.00
