BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Malcolm Jarvis,9.2,0,51,1,5.46,-,-,-,1,0
Eddo Brandes,10,0,70,3,7.00,-,-,-,0,0
Kevin Duers,10,0,72,0,7.20,-,-,-,0,0
Iain Butchart,8,0,63,0,7.88,-,-,-,3,0
John Traicos,10,1,33,1,3.30,-,-,-,1,0
Dave Houghton,2,0,19,1,9.50,-,-,-,0,0
