BATSMEN,,R,B,M,4s,6s,SR
Lahiru Thirimanne,c Haddin b Johnson,1,5,8,0,0,20.00
Tillakaratne Dilshan,lbw b Faulkner,62,60,91,8,0,103.33
Kumar Sangakkara,c Finch b Faulkner,104,107,140,11,0,97.20
Mahela Jayawardene,run out (Clarke),19,22,39,1,0,86.36
Angelo Mathews,c Haddin b Watson,35,31,57,2,1,112.90
Dinesh Chandimal,retired hurt,52,24,38,8,1,216.67
Thisara Perera,c Doherty b Johnson,8,3,8,2,0,266.67
Upul Tharanga,c Warner b Faulkner,4,5,20,0,0,80.00
Seekkuge Prasanna,b Starc,9,11,11,1,0,81.82
Sachithra Senanayake,c Doherty b Starc,7,8,8,1,0,87.50
Lasith Malinga,not out,0,2,4,0,0,0.00
