BATSMEN,,R,B,M,4s,6s,SR
Aaron Finch,st Sangakkara b Prasanna,24,24,38,3,0,100.00
David Warner,c Prasanna b Malinga,9,12,16,1,0,75.00
Steven Smith,c Perera b Dilshan,72,88,107,7,1,81.82
Michael Clarke,b Malinga,68,68,82,6,0,100.00
Glenn Maxwell,c Malinga b Perera,102,53,73,10,4,192.45
Shane Watson,c Chandimal b Perera,67,41,86,7,2,163.41
James Faulkner,run out (Mathews/Perera),0,1,1,0,0,0.00
Brad Haddin,c Perera b Mathews,25,9,16,4,1,277.78
Mitchell Johnson,not out,3,3,6,0,0,100.00
Mitchell Starc,run out (Perera/Mathews),0,0,1,0,0,0.00
Xavier Doherty,not out,0,1,2,0,0,0.00
