BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Jason Behrendorff,10,0,44,5,4.40,41,8,0,1,0
Mitchell Starc,8.4,1,43,4,4.96,29,5,0,0,0
Pat Cummins,8,1,41,0,5.13,30,7,0,1,0
Nathan Lyon,9,0,43,0,4.78,27,2,1,0,0
Marcus Stoinis,7,0,29,1,4.14,21,2,0,1,0
Glenn Maxwell,2,0,15,0,7.50,7,0,2,0,0
