BATSMEN,,R,B,M,4s,6s,SR
Kennedy Otieno,c Dravid b Srinath,15,43,66,1,0,34.88
Ravi Shah,lbw b Khan,1,17,39,0,0,5.88
Peter Ongondo,c Khan b Nehra,0,5,11,0,0,0.00
Thomas Odoyo,c Sehwag b Nehra,7,15,22,0,0,46.67
Steve Tikolo,b Tendulkar,56,83,109,5,2,67.47
Maurice Odumbe,c Khan b Yuvraj Singh,19,16,13,1,1,118.75
Hitesh Modi,c Dravid b Khan,9,25,26,0,0,36.00
David Obuya,run out (Kaif/Harbhajan Singh),3,23,26,0,0,13.04
Collins Obuya,lbw b Tendulkar,29,42,44,1,1,69.05
Martin Suji,b Khan,1,8,13,0,0,12.50
Aasif Karim,not out,0,1,2,0,0,0.00
