BATSMEN,,R,B,M,4s,6s,SR
Hazratullah Zazai,c van der Dussen b Rabada,22,23,40,3,0,95.65
Noor Ali Zadran,b Imran Tahir,32,58,105,4,0,55.17
Rahmat Shah,lbw b Morris,6,22,32,1,0,27.27
Hashmatullah Shahidi,c du Plessis b Phehlukwayo,8,22,29,1,0,36.36
Asghar Afghan,c & b Imran Tahir,0,5,9,0,0,0.00
Mohammad Nabi,b Phehlukwayo,1,2,6,0,0,50.00
Ikram Alikhil,c Amla b Morris,9,33,43,0,0,27.27
Gulbadin Naib,c Markram b Imran Tahir,5,11,12,0,0,45.45
Rashid Khan,c van der Dussen b Imran Tahir,35,25,34,6,0,140.00
Hamid Hassan,c du Plessis b Morris,0,3,12,0,0,0.00
Aftab Alam,not out,0,1,7,0,0,0.00
