BATSMEN,,R,B,M,4s,6s,SR
Martin Snedden,c Shastri b Azharuddin,33,63,63,2,0,52.38
Ken Rutherford,c Srikkanth b Shastri,75,95,121,6,2,78.95
Martin Crowe,st More b Maninder Singh,9,12,15,1,0,75.00
Andrew Jones,run out,64,86,95,2,0,74.42
Jeff Crowe,c Vengsarkar b Maninder Singh,7,11,17,0,0,63.64
Dipak Patel,run out,1,3,5,0,0,33.33
John Bracewell,c Maninder Singh b Shastri,8,14,17,0,0,57.14
Ian Smith,b Prabhakar,10,5,9,0,0,200.00
Stephen Boock,not out,7,8,11,0,0,87.50
Willie Watson,not out,2,3,2,0,0,66.67
