BATSMEN,,R,B,M,4s,6s,SR
Ravi Shastri,run out,57,112,151,2,0,50.89
Kris Srikkanth,c Botham b DeFreitas,39,50,63,7,0,78.00
Mohammad Azharuddin,c Stewart b Reeve,0,1,2,0,0,0.00
Sachin Tendulkar,c Stewart b Botham,35,44,51,5,0,79.55
Vinod Kambli,c Hick b Botham,3,11,16,0,0,27.27
Pravin Amre,run out,22,31,44,0,0,70.97
Kapil Dev,c DeFreitas b Reeve,17,18,24,2,0,94.44
Subroto Banerjee,not out,25,16,28,1,1,156.25
Kiran More,run out,1,4,6,0,0,25.00
Manoj Prabhakar,b Reeve,0,2,1,0,0,0.00
Javagal Srinath,run out,11,8,10,0,0,137.50
