BATSMEN,,R,B,M,4s,6s,SR
Graham Gooch,c Tendulkar b Shastri,51,89,121,1,0,57.30
Sir Ian Botham,c More b Kapil Dev,9,21,33,1,0,42.86
Robin Smith,c Azharuddin b Prabhakar,91,108,145,8,2,84.26
Graeme Hick,c More b Banerjee,5,6,5,1,0,83.33
Neil Fairbrother,c Srikkanth b Srinath,24,34,47,1,0,70.59
Alec Stewart,b Prabhakar,13,15,22,1,0,86.67
Chris Lewis,c Banerjee b Kapil Dev,10,6,10,1,0,166.67
Derek Pringle,c Srikkanth b Srinath,1,3,4,0,0,33.33
Dermot Reeve,not out,8,8,14,0,0,100.00
Phil DeFreitas,run out,1,5,2,0,0,20.00
Phil Tufnell,not out,3,5,7,0,0,60.00
