BATSMEN,,R,B,M,4s,6s,SR
Mike Atherton,b Nash,1,3,5,0,0,33.33
Alec Stewart,c & b Harris,34,71,96,3,0,47.89
Graeme Hick,run out,85,102,134,9,0,83.33
Graham Thorpe,b Larsen,9,21,22,0,0,42.86
Neil Fairbrother,b Morrison,36,46,47,1,0,78.26
Jack Russell,c Morrison b Larsen,2,9,12,0,0,22.22
Craig White,c Cairns b Thomson,13,12,18,0,1,108.33
Dominic Cork,c Germon b Nash,19,11,21,2,1,172.73
Darren Gough,not out,15,17,32,0,0,88.24
Peter Martin,c Cairns b Nash,3,7,9,0,0,42.86
Richard Illingworth,not out,3,4,6,0,0,75.00
