BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Glenn McGrath,9.4,1,25,2,2.59,45,3,0,3,0
Brett Lee,10,1,52,3,5.20,44,5,2,2,3
Ian Harvey,7,0,29,0,4.14,25,4,0,0,0
Andy Bichel,7,1,32,0,4.57,26,3,1,1,0
Brad Hogg,9,1,45,2,5.00,35,6,1,0,0
Darren Lehmann,5,0,26,1,5.20,14,3,0,0,0
