BATSMEN,,R,B,M,4s,6s,SR
Khaled Mashud,c Philip b Blain,0,9,11,0,0,0.00
Mehrab Hossain,c Dyer b Asim Butt,3,20,23,0,0,15.00
Faruque Ahmed,b Blain,7,24,40,1,0,29.17
Aminul Islam,lbw b Blain,0,1,2,0,0,0.00
Akram Khan,c Philip b Asim Butt,0,14,16,0,0,0.00
Minhajul Abedin,not out,68,116,179,6,0,58.62
Naimur Rahman,c Stanger b Brinkley,36,58,89,5,0,62.07
Khaled Mahmud,c Salmond b Dyer,0,4,4,0,0,0.00
Enamul Haque,c Philip b Dyer,19,40,36,1,0,47.50
Hasibul Hossain,c & b Blain,6,18,23,0,0,33.33
Manjurul Islam,not out,2,7,11,0,0,28.57
