BATSMEN,,R,B,M,4s,6s,SR
Nolan Clarke,c Pollock b Donald,32,46,64,6,1,69.57
Peter Cantrell,c & b Matthews,23,39,47,3,0,58.97
Tim de Leede,b Donald,12,26,36,1,0,46.15
Klaas-Jan van Noortwijk,c Palframan b Symcox,9,24,38,1,0,37.50
Flavian Aponso,c Kirsten b Symcox,6,31,41,0,0,19.35
Bas Zuiderent,run out,27,50,49,2,0,54.00
Marcel Schewe,b Matthews,20,34,62,1,0,58.82
Eric Gouka,c Kallis b Pollock,19,35,28,2,0,54.29
Robert van Oosterom,not out,5,15,15,0,0,33.33
Steven Lubbers,not out,2,2,8,0,0,100.00
