BATSMEN,,R,B,M,4s,6s,SR
Majid Khan,c Botham b Hendrick,7,20,29,1,0,35.00
Sadiq Mohammad,b Hendrick,18,27,38,4,0,66.67
Mudassar Nazar,lbw b Hendrick,0,2,1,0,0,0.00
Zaheer Abbas,c Taylor b Botham,3,19,23,0,0,15.79
Haroon Rasheed,c Brearley b Hendrick,1,2,10,0,0,50.00
Javed Miandad,lbw b Botham,0,4,5,0,0,0.00
Asif Iqbal,c Brearley b Willis,51,104,109,5,0,49.04
Wasim Raja,lbw b Old,21,25,51,4,0,84.00
Imran Khan,not out,21,82,113,1,0,25.61
Wasim Bari,c Taylor b Boycott,17,33,37,2,0,51.52
Sikander Bakht,c Hendrick b Boycott,2,19,23,0,0,10.53
