BATSMEN,,R,B,M,4s,6s,SR
Mike Brearley,c Wasim Bari b Imran Khan,0,2,1,0,0,0.00
Sir Geoff Boycott,lbw b Majid Khan,18,54,85,2,0,33.33
Derek Randall,c Wasim Bari b Sikander Bakht,1,5,6,0,0,20.00
Graham Gooch,c Sadiq Mohammad b Sikander Bakht,33,90,97,5,0,36.67
David Gower,b Majid Khan,27,40,51,3,0,67.50
Sir Ian Botham,b Majid Khan,22,48,58,1,1,45.83
Phil Edmonds,c Wasim Raja b Asif Iqbal,2,23,25,0,0,8.70
Bob Taylor,not out,20,59,61,1,0,33.90
Chris Old,c & b Asif Iqbal,2,7,4,0,0,28.57
Bob Willis,b Sikander Bakht,24,37,50,3,0,64.86
Mike Hendrick,not out,1,1,1,0,0,100.00
