BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Craig McDermott,10,0,56,4,5.60,-,-,-,0,0
Bruce Reid,10,2,35,0,3.50,-,-,-,0,0
Simon O'Donnell,9,1,32,1,3.56,-,-,-,0,0
Peter Taylor,5,0,46,1,9.20,-,-,-,0,0
Steve Waugh,9.5,0,52,2,5.29,-,-,-,0,0
Allan Border,6,0,39,0,6.50,-,-,-,0,0
