BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Kapil Dev,10,0,41,0,4.10,-,-,-,0,0
Manoj Prabhakar,10,0,47,2,4.70,-,-,-,0,0
Roger Binny,7,0,46,1,6.57,-,-,-,0,0
Maninder Singh,10,0,48,1,4.80,-,-,-,0,0
Ravi Shastri,10,0,50,1,5.00,-,-,-,0,0
Mohammad Azharuddin,3,0,20,0,6.67,-,-,-,0,0
