BATSMEN,,R,B,M,4s,6s,SR
Sikandar Raza,c Simmons b Holder,26,20,36,5,0,130.00
Regis Chakabva,lbw b Holder,2,5,10,0,0,40.00
Hamilton Masakadza,lbw b JE Taylor,5,14,12,0,0,35.71
Brendan Taylor,c Ramdin b Samuels,37,48,61,2,1,77.08
Sean Williams,c Smith b Holder,76,61,78,9,0,124.59
Craig Ervine,b Gayle,52,41,61,7,1,126.83
Stuart Matsikenyeri,lbw b Gayle,19,23,41,2,0,82.61
Elton Chigumbura,c Gayle b JE Taylor,21,20,33,1,1,105.00
Tinashe Panyangara,c Ramdin b JE Taylor,4,8,12,0,0,50.00
Tendai Chatara,b Miller,16,20,25,1,0,80.00
Tafadzwa Kamungozi,not out,6,9,14,1,0,66.67
