BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Javagal Srinath,10,0,69,2,6.90,29,9,1,1,4
Venkatesh Prasad,8.2,0,32,0,3.84,33,3,0,1,0
Anil Kumble,10,0,44,1,4.40,31,4,0,1,0
Ajit Agarkar,9,0,57,1,6.33,28,6,0,0,5
Robin Singh,2,0,10,0,5.00,5,1,0,0,0
Sourav Ganguly,4,0,16,1,4.00,13,1,0,0,1
Sachin Tendulkar,4,0,22,0,5.50,9,2,0,0,0
