BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Sir Curtly Ambrose,8,1,26,0,3.25,-,-,-,0,0
Malcolm Marshall,8,0,37,0,4.63,-,-,-,2,0
Winston Benjamin,9.5,2,22,2,2.24,-,-,-,2,1
Carl Hooper,10,1,38,1,3.80,-,-,-,0,0
Roger Harper,4,0,30,1,7.50,-,-,-,0,0
